"","Mammalia","Aves","Amphibia","Osteichthyes","Chondrichthyes","begin"
"1",6567,7989,2695,2,1,1900
"2",13529,14742,3135,3,8,1904
"3",17639,16496,3595,3,33,1909
"4",16529,14139,3399,13,2,1914
"5",11152,9604,3729,23,1,1919
"6",14167,11312,3461,27,5,1924
"7",30319,13281,5785,15,7,1929
"8",35115,13807,8821,51,15,1934
"9",20018,9559,6055,36,9,1939
"10",15321,5969,7945,26,5,1944
"11",12576,6055,11286,62,20,1949
"12",24197,4788,14020,138,67,1954
"13",20583,5371,11424,114,34,1959
"14",23388,4720,14639,265,201,1964
"15",52256,4016,34289,496,146,1969
"16",30252,4431,14251,500,80,1974
"17",15552,5956,9057,133,162,1979
"18",18265,4893,6753,215,18,1984
"19",13412,4710,6741,176,17,1989
"20",12612,4656,8160,824,11,1994
"21",23296,3356,4336,295,88,1999
"22",17485,2013,1587,96,15,2004
"23",1501,312,357,160,38,2009
"24",0,0,0,0,0,2014
"25",0,0,0,0,0,2019
